name,age
john,29
emirhan,321
ruchan,60
hello,45
world,1
script,30
graph,40
homework,50
mike,20
ryan,30
fdfds,4343
kfdslnfkldsjf,43242
fdskjf,3424
john,29
emirhan,321
ruchan,60
hello,45
world,1
script,30
graph,40
homework,50
mike,20
ryan,30
fdfds,4343
kfdslnfkldsjf,43242
fdskjf,3424
john,29
emirhan,321
ruchan,60
hello,45
world,1
script,30
graph,40
homework,50
mike,20
ryan,30
fdfds,4343
kfdslnfkldsjf,43242
fdskjf,3424
john,29
emirhan,321
ruchan,60
hello,45
world,1
script,30
graph,40
homework,50
mike,20
ryan,30
fdfds,4343
kfdslnfkldsjf,43242
fdskjf,3424
john,29
emirhan,321
ruchan,60
hello,45
world,1
script,30
graph,40
homework,50
mike,20
ryan,30
fdfds,4343
kfdslnfkldsjf,43242
fdskjf,3424
john,29
emirhan,321
ruchan,60
hello,45
world,1
script,30
graph,40
homework,50
mike,20
ryan,30
fdfds,4343
kfdslnfkldsjf,43242
fdskjf,3424
